Type,Publish,Authority ID,Source,Rules,ORIGINAL,Prefix,Family Name,Dates,Qualifier
famname,TRUE,,lcnaf,,Winegar family.
famname,TRUE,,lcnaf,,Wright family.
famname,TRUE,http://id.loc.gov/authorities/names/n83163731,lcnaf,,Sparks family.
famname,TRUE,,lcnaf,,Sunderland family.
famname,TRUE,,lcnaf,,Banér family.
famname,TRUE,,lcnaf,,Beach family.
famname,TRUE,http://id.loc.gov/authorities/names/n79054541,lcnaf,,Warden family.
famname,TRUE,http://id.loc.gov/authorities/names/n85170646,lcnaf,,North family.
famname,TRUE,,lcnaf,,Brucker family.
famname,TRUE,http://id.loc.gov/authorities/names/no2009149232,lcnaf,,Buck family.
famname,TRUE,http://id.loc.gov/authorities/names/no2005098042,lcnaf,,Buell family.
famname,TRUE,http://id.loc.gov/authorities/names/no2010124332,lcnaf,,Cameron family.
famname,TRUE,,lcnaf,,Carman family.
famname,TRUE,http://id.loc.gov/authorities/names/n82097696,lcnaf,,Stearns family.
famname,TRUE,http://id.loc.gov/authorities/names/n81093636,lcnaf,,Chase family.
famname,TRUE,http://id.loc.gov/authorities/names/n82063886,lcnaf,,Palmer family.
famname,TRUE,,lcnaf,,Claybourn family.
famname,TRUE,http://id.loc.gov/authorities/names/no2013045666,lcnaf,,Cooley family.
famname,TRUE,http://id.loc.gov/authorities/names/n81055151,lcnaf,,Copeland family.
famname,TRUE,http://id.loc.gov/authorities/names/n94073194,lcnaf,,Crapo family.
famname,TRUE,,lcnaf,,Milliken family.
famname,TRUE,http://id.loc.gov/authorities/names/n79067259,lcnaf,,Douglas family.
famname,TRUE,http://id.loc.gov/authorities/names/no2011088302,lcnaf,,Douglas family.
famname,TRUE,,lcnaf,,Early family.
famname,TRUE,,lcnaf,,Ellis family.
famname,TRUE,,lcnaf,,Merritt family.
famname,TRUE,http://id.loc.gov/authorities/names/nr89016998,lcnaf,,Fletcher family.
famname,TRUE,,lcnaf,,Newton family.
famname,TRUE,,lcnaf,,Strong family.
famname,TRUE,,lcnaf,,Randall family.
famname,TRUE,,lcnaf,,Potter family.
famname,TRUE,http://id.loc.gov/authorities/names/n88657243,lcnaf,,Goddard family.
famname,TRUE,http://id.loc.gov/authorities/names/n2007012393,lcnaf,,Goodrich family.
famname,TRUE,http://id.loc.gov/authorities/names/n79107874,lcnaf,,Gorman family.
famname,TRUE,http://id.loc.gov/authorities/names/n87862138,lcnaf,,Studley family.
famname,TRUE,http://id.loc.gov/authorities/names/no2014128243,lcnaf,,Green family.
famname,TRUE,http://id.loc.gov/authorities/names/n86851070,lcnaf,,Haisley family.
famname,TRUE,,lcnaf,,Hankinson family.
famname,TRUE,http://id.loc.gov/authorities/names/n80126245,lcnaf,,Adams family.
famname,TRUE,http://id.loc.gov/authorities/names/n88657243,lcnaf,,Ware family.
famname,TRUE,http://id.loc.gov/authorities/names/n2010060456,lcnaf,,Hill family.
famname,TRUE,,lcnaf,,Waters family.
famname,TRUE,,lcnaf,,Parker family.
famname,TRUE,,lcnaf,,Hohn family.
famname,TRUE,,lcnaf,,Robertson family.
famname,TRUE,http://id.loc.gov/authorities/names/no2009014065,lcnaf,,Irwin family.
famname,TRUE,http://id.loc.gov/authorities/names/no2007152639,lcnaf,,Jickling family.
famname,TRUE,http://id.loc.gov/authorities/names/n81055151,lcnaf,,Kellogg family.
famname,TRUE,http://id.loc.gov/authorities/names/n50052200,lcnaf,,Kellogg family.
famname,TRUE,,lcnaf,,Kelly family.
famname,TRUE,http://id.loc.gov/authorities/names/n84192953,lcnaf,,Stockdale family.
famname,TRUE,,lcnaf,,Smith family.
famname,TRUE,,lcnaf,,White family.
famname,TRUE,,lcnaf,,Leslie family.
famname,TRUE,http://id.loc.gov/authorities/names/no2011086515,lcnaf,,Waterman family.
famname,TRUE,,lcnaf,,Loughray family.
famname,TRUE,http://id.loc.gov/authorities/names/n79054541,lcnaf,,Newman family.
famname,TRUE,,lcnaf,,Martindale family.
famname,TRUE,,lcnaf,,Slatford family.
famname,TRUE,http://id.loc.gov/authorities/names/no2011086693,lcnaf,,Fenton family.
famname,TRUE,http://id.loc.gov/authorities/names/n83163731,lcnaf,,McDonald family.
famname,TRUE,http://id.loc.gov/authorities/names/n90688701,lcnaf,,Merriam family.
famname,TRUE,http://id.loc.gov/authorities/names/no99080842,lcnaf,,Wood family.
famname,TRUE,,lcnaf,,Miller family.
famname,TRUE,http://id.loc.gov/authorities/names/n2004083974,lcnaf,,Monteith family.
famname,TRUE,http://id.loc.gov/authorities/names/n50068171,lcnaf,,Netzorg family.
famname,TRUE,http://id.loc.gov/authorities/names/n87910587,lcnaf,,Nordman family.
famname,TRUE,http://id.loc.gov/authorities/names/n79043367,lcnaf,,Whittelsey family.
famname,TRUE,http://id.loc.gov/authorities/names/n94090783,lcnaf,,Moody family.
famname,TRUE,,lcnaf,,O'Brien family.
famname,TRUE,http://id.loc.gov/authorities/names/n82098946,lcnaf,,Olson family.
famname,TRUE,http://id.loc.gov/authorities/names/n50069813,lcnaf,,Pattengill family.
famname,TRUE,,lcnaf,,Woodward family.
famname,TRUE,,lcnaf,,Pearson family.
famname,TRUE,http://id.loc.gov/authorities/names/n80004216,lcnaf,,Plummer family.
famname,TRUE,,lcnaf,,Poole family.
famname,TRUE,http://id.loc.gov/authorities/names/n50040225,lcnaf,,Post family.
famname,TRUE,,lcnaf,,Zimmerman family.
famname,TRUE,,lcnaf,,Radulovich family.
famname,TRUE,,lcnaf,,Roosevelt family.
famname,TRUE,http://id.loc.gov/authorities/names/n2003008945,lcnaf,,Schuler family.
famname,TRUE,,lcnaf,,Scripps family.
famname,TRUE,,lcnaf,,Shartel family.
famname,TRUE,,lcnaf,,Van Valin family.
famname,TRUE,,lcnaf,,Showers family.
famname,TRUE,http://id.loc.gov/authorities/names/n85137476,lcnaf,,Slayton family.
famname,TRUE,http://id.loc.gov/authorities/names/n85129645,lcnaf,,Spalding family.
famname,TRUE,http://id.loc.gov/authorities/names/n83163731,lcnaf,,Staebler family.
famname,TRUE,http://id.loc.gov/authorities/names/n81074669,lcnaf,,Starr family.
famname,TRUE,,lcnaf,,Van Aken family.
famname,TRUE,http://id.loc.gov/authorities/names/n85250563,lcnaf,,McCalmont family.
famname,TRUE,http://id.loc.gov/authorities/names/n80020716,lcnaf,,Sundwall family.
famname,TRUE,,lcnaf,,Tanner family.
famname,TRUE,,lcnaf,,Schleicher family.
famname,TRUE,http://id.loc.gov/authorities/names/n82020424,lcnaf,,Thomas family.
famname,TRUE,http://id.loc.gov/authorities/names/n85023871,lcnaf,,Todd family.
famname,TRUE,,lcnaf,,Travis family.
famname,TRUE,,lcnaf,,Van Zoeren family.
famname,TRUE,http://id.loc.gov/authorities/names/n78087581,lcnaf,,Vivian family.
famname,TRUE,http://id.loc.gov/authorities/names/n79043367,lcnaf,,Ward family.
famname,TRUE,,lcnaf,,Woodruff family.
famname,TRUE,,lcnaf,,Weil family.
famname,TRUE,http://id.loc.gov/authorities/names/no98121869,lcnaf,,Wells family.
famname,TRUE,http://id.loc.gov/authorities/names/n79129619,lcnaf,,Wenley family.
famname,TRUE,http://id.loc.gov/authorities/names/n79021846,lcnaf,,Whitmore family.
famname,TRUE,http://id.loc.gov/authorities/names/nr89016998,lcnaf,,Whitmore family.
famname,TRUE,http://id.loc.gov/authorities/names/n79081473,lcnaf,,Winchell family.
famname,TRUE,,lcnaf,,Ziegler family.
