Type,Publish,Authority ID,Source,Rules,ORIGINAL,Prefix,Family Name,Dates,Qualifier
famname,TRUE,,lcnaf,,Allmendinger family.,,Allmendinger,,(Family)
famname,TRUE,,lcnaf,,Arnold family.,,Arnold,,(Family)
famname,TRUE,,lcnaf,,Bach family.,,Bach,,(Family)
famname,TRUE,,lcnaf,,Bingham family.,,Bingham,,(Family)
famname,TRUE,,lcnaf,,Bird family.,,Bird,,(Family)
famname,TRUE,,lcnaf,,Birney Family,,Birney,,(Family)
famname,TRUE,,lcnaf,,Blair family.,,Blair,,(Family)
famname,TRUE,,lcnaf,,Blanchard family.,,Blanchard,,(Family)
famname,TRUE,,lcnaf,,Blodgett family.,,Blodgett,,(Family)
famname,TRUE,,lcnaf,,Borman family.,,Borman,,(Family)
famname,TRUE,,lcnaf,,Boyd family.,,Boyd,,(Family)
famname,TRUE,,lcnaf,,Brecken family.,,Brecken,,(Family)
famname,TRUE,,lcnaf,,Brown family.,,Brown,,(Family)
famname,TRUE,,lcnaf,,Buckbee Family,,Buckbee,,(Family)
famname,TRUE,,lcnaf,,Buck family.,,Buck,,(Family)
famname,TRUE,,lcnaf,,Buell family.,,Buell,,(Family)
famname,TRUE,,lcnaf,,Burrows family,,Burrows,,(Family)
famname,TRUE,,lcnaf,,Carlisle family.,,Carlisle,,(Family)
famname,TRUE,,lcnaf,,Carr family.,,Carr,,(Family)
famname,TRUE,,lcnaf,,Cavanagh Family,,Cavanagh,,(Family)
famname,TRUE,,lcnaf,,Chapin family,,Chapin,,(Family)
famname,TRUE,,lcnaf,,Chipman family,,Chipman,,(Family)
famname,TRUE,,lcnaf,,Clarke family.,,Clarke,,(Family)
famname,TRUE,,lcnaf,,Clippert family.,,Clippert,,(Family)
famname,TRUE,,lcnaf,,Conant family.,,Conant,,(Family)
famname,TRUE,,lcnaf,,Crawford family.,,Crawford,,(Family)
famname,TRUE,,lcnaf,,Den Bleyker family.,,Den Bleyker,,(Family)
