ORIGINAL,uri
"Arnold, Orlan.",/agents/people/147
"Arnold, Virginia Safford.",/agents/people/148
"Arnori, M. S.",/agents/people/149
"Asher, Court.",/agents/people/150
"Ashley, H. W.",/agents/people/151
"Ashrawi, Hanan.",/agents/people/152
"Askren, D. L.",/agents/people/153
"Aswad, Barbara C.",/agents/people/154
"Atkins, Daniel E. (Daniel Ewell)",/agents/people/155
"Atkinson, William F.",/agents/people/156
"Attwood, Charles.",/agents/people/157
"Atwell, Helen M.",/agents/people/158
"Auperle, Eric M.",/agents/people/159
"Aupperle, Eric M.",/agents/people/160
"Austin, Carolyn.",/agents/people/161
"Austin, Judson L.",/agents/people/162
"Autrey-Hunley, Carolyn.",/agents/people/163
"Avery, Noyes L.",/agents/people/164
"Avery, Waldo A.",/agents/people/165
"Ayres, Francis O.",/agents/people/166
"Babbitt, Rube S.",/agents/people/167
"Babicki, Andrew.",/agents/people/168
"Bach, Barbara.",/agents/people/169
"Bach, Waldo.",/agents/people/170
"Bachner, Arnie.",/agents/people/171
"Backus, C. K. (Charles K.)",/agents/people/172
"Backus, Standish.",/agents/people/173
"Bacon, Deborah.",/agents/people/174
"Bacon, Elbridge F.",/agents/people/175
"Bader, Arno Lehman.",/agents/people/176
"Baer, Max A.",/agents/people/177
"Bagwell, Paul D.",/agents/people/178
"Bailey, Bea.",/agents/people/179
"Bailey, Richard W.",/agents/people/180
"Bailey, Tom.",/agents/people/181
"Bain, Read.",/agents/people/182
"Baird, Andrew C.",/agents/people/183
"Bakalis, Hrissi.",/agents/people/184
"Bakalis, Pete.",/agents/people/185
"Baker, Art.",/agents/people/186
"Baker, Deane.",/agents/people/187
"Baker, George Sumner.",/agents/people/188
"Baker, Howard Bigelow.",/agents/people/189
"Baker, Mary Ursula.",/agents/people/190
"Baker, Orrin.",/agents/people/191
"Baker, Oscar W.",/agents/people/192
"Baker, Wayne E.",/agents/people/193
"Baker, William F.",/agents/people/194
"Baldwin, C. W.",/agents/people/195
"Baldwin, Charles.",/agents/people/196
"Baldwin, Frank Dwight.",/agents/people/197
"Baldwin, R. W.",/agents/people/198
"Baldwin, Richard L.",/agents/people/199
"Baldwin, Ruth Standish.",/agents/people/200
"Balogh, Tivadar",/agents/people/201
"Balzhiser, Richard E.",/agents/people/202
"Bandemer, Paul A.",/agents/people/203
"Bank, Ted.",/agents/people/204
"Banks, A. A. (Allan A.)",/agents/people/205
