University of Michigan--Students--Political activity.,Students,topical,Political activity.,topical
University of Michigan--Maps.,Maps.,genre_form
J. Jasmine.--My new music.,My new music.,uniform_title
"Ann Arbor Taxicab Co. (Ann Arbor, Mich.)--Employees.",Employees.,topical
"Mack & Company (Ann Arbor, Mich.)--Fire.",Fire.,topical
University of Michigan--Buildings.,Buildings.,topical
University of Michigan--Faculty.,Faculty.,topical
University of Michigan--Campus.,Campus.,topical
University of Michigan--Sports.,Sports.,topical
University of Michigan--Students--Social life and customs--1971-1980.,Students,topical,Social life and customs,topical,1971-1980.,temporal
University of Michigan--Students--Social life and customs--1921-1930.,Students,topical,Social life and customs,topical,1921-1930.,temporal
University of Michigan--Students--Social life and customs--1931-1940.,Students,topical,Social life and customs,topical,1931-1940.,temporal
"University of Michigan--Trials, litigation, etc.","Trials, litigation, etc.",topical
University of Michigan--Administration.,Administration.,topical
University of Michigan--Board in Control of Athletics.,Board in Control of Athletics.,topical
University of Michigan--Football.,Football.,topical
University of Michigan--Law School.,Law School.,topical
University of Michigan--Alumni and alumnae.,Alumni and alumnae.,topical
University of Michigan. School of Nursing--Faculty.,Faculty.,topical
University of Michigan--Honorary societies.,Honorary societies.,topical
"University of Michigan--Students--Societies, etc.",Students,topical,"Societies, etc.",topical
University of Michigan--Students.,Students.,topical
University of Michigan--Students--Social life and customs--1961-1970.,Students,topical,Social life and customs,topical,1961-1970.,temporal
University of Michigan--Student housing--1961-1970.,Student housing,topical,1961-1970.,temporal
University of Michigan--Students--Social life and customs--1901-1910.,Students,topical,Social life and customs,topical,1901-1910.,temporal
University of Michigan--Students--Social life and customs--1911-1920.,Students,topical,Social life and customs,topical,1911-1920.,temporal
University of Michigan--Students--Social life and customs--1981-1990.,Students,topical,Social life and customs,topical,1981-1990.,temporal
University of Michigan--Students--Social life and customs--1991-2000.,Students,topical,Social life and customs,topical,1991-2000.,temporal
University of Michigan--Students--Social life and customs--2001-2010.,Students,topical,Social life and customs,topical,2001-2010.,temporal
University of Michigan--Congresses.,Congresses.,topical
University of Michigan--Student housing.,Student housing.,topical
University of Michigan--Commencements.,Commencements.,topical
"University of Michigan--Alumni and alumnae--Anniversaries, etc.",Alumni and alumnae,topical,"Anniversaries, etc.",topical
University of Michigan--Students--Social life and customs.,Students,topical,Social life and customs.,topical
University of Michigan--Alumni and alumnae--Michigan--Ann Arbor.,Alumni and alumnae,topical,Michigan,geographic,Ann Arbor.,geographic
University of Michigan. Junior Hop--1912.,1912.,temporal
"Catholic Church--Michigan--Jackson--Societies, etc.",Michigan,geographic,Jackson,geographic,"Societies, etc.",topical
University of Michigan--Folklore.,Folklore.,topical
University of Michigan. Medical School--Alumni and alumnae.,Alumni and alumnae.,topical
University of Michigan--Students--Social life and customs--1871-1880.,Students,topical,Social life and customs,topical,1871-1880.,temporal
University of Michigan--Students--Social life and customs--1881-1890.,Students,topical,Social life and customs,topical,1881-1890.,temporal
University of Michigan--Students--Social life and customs--1891-1900.,Students,topical,Social life and customs,topical,1891-1900.,temporal
United States Fish Commission--1888.,1888.,temporal
"University of Michigan--Students--Societies, etc.--Periodicals.",Students,topical,"Societies, etc.",topical,Periodicals.,genre_form
A. Alfred Taubman College of Architecture and Urban Planning--Faculty.,Faculty.,topical
Lutheran Church--Missions--China.,Missions,topical,China.,geographic
"Michigan Central Railroad Depot (Detroit, Mich.)--History.",History.,topical
Episcopal Church--Michigan--Detroit.,Michigan,geographic,Detroit.,geographic
"University of Michigan--Anniversaries, etc.","Anniversaries, etc.",topical
University of Michigan--Awards.,Awards.,topical
University of Michigan--Gifts and loans.,Gifts and loans.,topical
University of Michigan--Degrees.,Degrees.,topical
"University of Michigan--Students--Scholarships, fellowships, etc.",Students,topical,"Scholarships, fellowships, etc.",topical
University of Michigan--Baseball.,Baseball.,topical
University of Michigan--Basketball.,Basketball.,topical
University of Michigan--Golf.,Golf.,topical
University of Michigan--Hockey.,Hockey.,topical
University of Michigan--Soccer.,Soccer.,topical
University of Michigan--Swimming.,Swimming.,topical
University of Michigan--Track athletics.,Track athletics.,topical
University of Michigan--Wrestling.,Wrestling.,topical
"United States. Congress--Elections, 1934.","Elections, 1934.",topical
University of Michigan--Security measures.,Security measures.,topical
University of Michigan--Alumni and alumnae--New York (State)--New York.,Alumni and alumnae,topical,New York (State),geographic,New York.,geographic
University of Michigan--History.,History.,topical
"Ann Arbor High School (Mich.)--Societies, etc.","Societies, etc.",topical
University of Michigan--Archaeological expeditions.,Archaeological expeditions.,topical
"University of Michigan--Societies, etc.","Societies, etc.",topical
University of Michigan--Student housing--1891-1900.,Student housing,topical,1891-1900.,temporal
University of Michigan--Track and field.,Track and field.,topical
Presbyterian Church--Michigan--Kalamazoo.,Michigan,geographic,Kalamazoo.,geographic
University of Michigan--Students--Correspondence.,Students,topical,Correspondence.,genre_form
University of Michigan--Students--Social life and customs--1941-1950.,Students,topical,Social life and customs,topical,1941-1950.,temporal
University of Michigan--Bands.,Bands.,topical
University of Michigan--Songs and music.,Songs and music.,topical
University of Michigan--Employees.,Employees.,topical
Episcopal Church--Michigan.,Michigan.,geographic
United Methodist Church (U.S.)--Michigan--Bay View.,Michigan,geographic,Bay View.,geographic
University of Michigan--Periodicals.,Periodicals.,genre_form
University of Michigan--Students--Periodicals.,Students,topical,Periodicals.,genre_form
Methodist Episcopal Church--Michigan--Ann Arbor.,Michigan,geographic,Ann Arbor.,geographic
University of Wisconsin--Milwaukee--Faculty.,Milwaukee,geographic,Faculty.,topical
University of Michigan--Students--Social life and customs--1951-1960.,Students,topical,Social life and customs,topical,1951-1960.,temporal
University of Michigan--Flint.,Flint.,geographic
"Gilbert, W. S. (William Schwenck), 1836-1911--Performances--Michigan.",Performances,topical,Michigan.,geographic
