Name,LCNAF Heading,LC Record Link
Affirmations.,"<?xml version=""1.0"" encoding=""UTF-8""?> <mx:record xmlns=""http://www.w3.org/TR/xhtml1/strict"" xmlns:mx=""http://www.loc.gov/MARC21/slim""> <mx:leader>00000cz a2200037n 45 0</mx:leader> <mx:controlfield tag=""001"">LC|no2012143204</mx:controlfield> <mx:controlfield tag=""005"">20140325070535.0</mx:controlfield> <mx:controlfield tag=""008"">121104n| azannaabn |a ana c</mx:controlfield> <mx:controlfield tag=""003"">LC</mx:controlfield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(LC)9138363</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""010""> <mx:subfield code=""a"">no2012143204</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(OCoLC)oca09339762</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)9131614</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""035""> <mx:subfield code=""a"">(DLC)no2012143204</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""040""> <mx:subfield code=""a"">WaU</mx:subfield> <mx:subfield code=""b"">eng</mx:subfield> <mx:subfield code=""e"">rda</mx:subfield> <mx:subfield code=""c"">WaU</mx:subfield> <mx:subfield code=""d"">WaU</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""046""> <mx:subfield code=""s"">1991</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""111""> <mx:subfield code=""a"">Reel Affirmations (Film festival)</mx:subfield> <mx:subfield code=""c"">(Washington, D.C.)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""368""> <mx:subfield code=""a"">Film festival</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""368""> <mx:subfield code=""a"">Gay and lesbian film festivals</mx:subfield> <mx:subfield code=""2"">lcsh</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""370""> <mx:subfield code=""c"">United States</mx:subfield> <mx:subfield code=""e"">Washington (D.C.)</mx:subfield> <mx:subfield code=""2"">naf</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""411""> <mx:subfield code=""a"">Reel Affirmations: Washington DC's International Gay &amp; Lesbian Film Festival</mx:subfield> <mx:subfield code=""c"">(Washington, D.C.)</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""411""> <mx:subfield code=""a"">Reel Affirmations: Washington DC's International Gay and Lesbian Film Festival</mx:subfield> <mx:subfield code=""c"">(Washington, D.C.)</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""411""> <mx:subfield code=""a"">RA</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""410""> <mx:subfield code=""a"">One In Ten.</mx:subfield> <mx:subfield code=""b"">Reel Affirmations</mx:subfield> <mx:subfield code=""c"">(Washington, D.C.)</mx:subfield> </mx:datafield> <mx:datafield ind1=""2"" ind2="" "" tag=""411""> <mx:subfield code=""a"">Reel Affirmations: Washington DC's International LGBT Film Festival</mx:subfield> <mx:subfield code=""c"">(Washington, D.C.)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Reel Affirmations, 2006:</mx:subfield> <mx:subfield code=""b"">title page (One In Ten presents Reel Affirmations, Washington DC's International Gay &amp; Lesbian Film Festival)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Wikipedia, Nov. 4, 2012</mx:subfield> <mx:subfield code=""b"">(Reel Affirmations (RA) is a non-profit, all-volunteer LGBT film festival in Washington, D.C.; founded in 1991 and held every year in mid-October; a program of One In Ten, a Washington, D.C.-based LGBT non-profit arts organization)</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""670""> <mx:subfield code=""a"">Reel Affirmations website, Nov. 4, 2012:</mx:subfield> <mx:subfield code=""b"">home page (Reel Affirmations: Washington DC's International LGBT Film Festival) about page (The 21st Reel Affirmations Film Festival will be held between Nov. 1-4 in Washington D.C. One In Ten, Washington DC's premier gay and lesbian arts organization, is proud to sponsor Reel Affirmations 21: Washington DC's Twenty First International Gay and Lesbian Film Festival)</mx:subfield> <mx:subfield code=""u"">http://reelaffirmations.org/</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""919""> <mx:subfield code=""a"">reelaffirmations</mx:subfield> <mx:subfield code=""A"">Reel Affirmations, 2006:</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""943""> <mx:subfield code=""a"">200x</mx:subfield> <mx:subfield code=""A"">2006</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> <mx:datafield ind1="" "" ind2="" "" tag=""947""> <mx:subfield code=""a"">US</mx:subfield> <mx:subfield code=""9"">1</mx:subfield> </mx:datafield> </mx:record>",http://id.loc.gov/authorities/names/no2012143204
Affirmations Lesbian/Gay Community Center.,,
AFL-CIO.,American Federation of Labor,http://id.loc.gov/authorities/names/n79091711
African American Cultural and Historical Museum of Washtenaw County.,,
African Methodist Episcopal Church.,African Methodist Episcopal Church,http://id.loc.gov/authorities/names/n80060458
African Students Association (University of Michigan),,
"AFSCME. Local 1583 (Ann Arbor, Mich.)",,
Agency for Health Care Policy and Research.,United States. Agency for Healthcare Research and Quality,http://id.loc.gov/authorities/names/no00015616
AIDS Care Connection.,,
AIDS Partnership Michigan.,,
"Aircraft Parts Production Corporation (Ann Arbor, Mich.)",,
Alan M. Voorhees   Associates.,Alan M. Voorhees & Associates,http://id.loc.gov/authorities/names/n79096749
"Alba Bramble Grange, No. 1801 (Antrim County, Mich.)",,
"Albert Kahn Associated Architects   Engineers, Inc.",,
Albert Kahn Associates.,Albert Kahn Associates,http://id.loc.gov/authorities/names/nr97013546
Albion College.,Albion College,http://id.loc.gov/authorities/names/n86812068
"Al-Gon-Quian Boys Camp (Burt Lake, Mich.)",,
"Algonquin Club (Detroit, Mich.)",,
Alice and Edith Hamilton Award (University of Michigan),,
Alice Lloyd Hall (University of Michigan),,
All American Co-operative Commission.,,
Alliance College.,Alliance israélite universelle. Collège des études juives,http://id.loc.gov/authorities/names/n2003083822
Alliance for American Rights and Responsibilities.,,
Alliance for Cultural Democracy.,Alliance for Cultural Democracy,http://id.loc.gov/authorities/names/nr93049540
Alliance for the Mentally Ill of Michigan.,,
Alliance for the Mentally Ill of Washtenaw County.,,
Allied Artists Association of America.,,
Allied Citizens for Prohibition.,,
Allied Forces. Supreme Headquarters. Psychological Warfare Division.,Allied Forces. Supreme Headquarters. Psychological Warfare Division,http://id.loc.gov/authorities/names/n50064291
Allied Mapping Section.,United States. Army. Corps of Engineers. Allied Mapping Section,http://id.loc.gov/authorities/names/no2001077668
Allied Theatres of Michigan.,,
"Allmendinger Building (Ann Arbor, Mich.)",,
"All Saint's Episcopal Church (Brooklyn, Mich.)",,
"All Saints Episcopal Church (Detroit, Mich.)",,
"All Saints Episcopal Church (Saugatuck, Mich.)",,
"All Saints Evangelical Lutheran Church (East Detroit, Mich.)",,
"All Saints Lutheran Church (Mason, Mich.)",,
Alma College.,Alma College,http://id.loc.gov/authorities/names/n85149705
Alpena Electric Light Company (Mich.),,
Alpena Mill Company (Mich.),,
Alpena Power Company (Mich.),,
Alpena Sulphate Fibre Company.,,
Alpena Sulphite Fibre Company (Mich.),,
Alpena Water Company (Mich.),,
Alpha Chi Omega. Theta Chapter (University of Michigan),,
Alphadelphia Association.,Alphadelphia Association (Organization),http://id.loc.gov/authorities/names/no2008133308
Alpha Delta Phi. Peninsular Chapter (University of Michigan),,
Alpha Epsilon Iota. Alpha Chapter (University of Michigan),,
Alpha Kappa Alpha Sorority.,Alpha Kappa Alpha Sorority,http://id.loc.gov/authorities/names/n86078716
"Alpha Kappa Alpha Sorority. Alpha Rho Omega Chapter (Detroit, Mich.)",,
Alpha Kappa Alpha Sorority. International Archives Committee.,,
"Alpha Kappa Alpha Sorority. Tau Alpha Omega Chapter (Redford, Mich.)",,
"Alpha Kappa Delta. Alpha Chapter (Ann Arbor, Mich.)",,
Alpha Kappa Kappa Fraternity. Alpha Iota Chapter (University of Michigan),,
Alpha Omega Alpha. Alpha Chapter of Michigan.,,
Alpha Phi Alpha Fraternity. Epsilon Chapter (University of Michigan),,
Alpha Phi Omega. Gamma Pi Chapter (University of Michigan),,
Alpha Rho Chi (Fraternity). |b Iktinos Chapter (University of Michigan),,
Alpha Rho Chi (Fraternity).-Iktinos Chapter (University of Michigan),,
Alpha Sigma Phi Fraternity. Theta Chapter (University of Michigan),,
Alpha Tau Omega. Beta Lambda Chapter (University of Michigan),,
"Altman Miller Company (Lansing, Mich.)",,
Alumnae House (University of Michigan),,
Alumni Center (University of Michigan),,
